CURSO;PERIODO;CODIGO;DEPARTAMENTO;MEDIA;SITUACAO;MATRICULA;PERIODO_INGRESSO
14102100;2011.2;1411174;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;0;Reprovado por Falta;308162114;2011.2
14102100;2011.2;1411185;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;8;Aprovado;308162111;2011.2
14102100;2011.2;1411184;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;6.3;Aprovado;308162111;2011.2
14102100;2011.2;1411191;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;6.3;Aprovado;308162111;2011.2
14102100;2011.2;1304122;UNID. ACAD. DE EDUCAÇÃO;0;Reprovado por Falta;308162111;2011.2
14102100;2011.2;1411196;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;7.3;Aprovado;308162111;2011.2
14102100;2011.2;1411189;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;1;Reprovado;308161382;2011.2
14102100;2011.2;1411184;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;6;Aprovado;308161382;2011.2
14102100;2011.2;1411191;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;6;Aprovado;308161382;2011.2
14102100;2011.2;1411203;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;8;Aprovado;308161382;2011.2
14102100;2011.2;1411188;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;6.4;Aprovado;308161382;2011.2
14102100;2011.2;1411185;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;8.3;Aprovado;308161382;2011.2
14102100;2011.2;1411244;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;6.6;Aprovado;308161337;2011.2
14102100;2011.2;1411192;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;5;Aprovado;308161337;2011.2
14102100;2011.2;1411190;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;5.9;Aprovado;308161337;2011.2
14102100;2011.2;1411188;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;5.4;Aprovado;308161337;2011.2
14102100;2011.2;1411174;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;5;Aprovado;308162648;2011.2
14102100;2011.2;1411167;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;3.8;Reprovado;308162648;2011.2
14102100;2011.2;1109103;UNID. ACAD. DE MATEMÁTICA;0;Reprovado;308162648;2011.2
14102100;2011.2;1307151;UNID. ACAD. DE LETRAS;7.5;Aprovado;308162648;2011.2
14102100;2011.2;1411180;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;3.8;Reprovado;308162648;2011.2
14102100;2011.2;1109035;UNID. ACAD. DE MATEMÁTICA;7;Aprovado;308162648;2011.2
14102100;2011.2;1109035;UNID. ACAD. DE MATEMÁTICA;1;Reprovado;308160380;2011.2
14102100;2011.2;1109103;UNID. ACAD. DE MATEMÁTICA;1;Reprovado;308160380;2011.2
14102100;2011.2;1411167;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;1.8;Reprovado;308160380;2011.2
14102100;2011.2;1307151;UNID. ACAD. DE LETRAS;8.5;Aprovado;308160380;2011.2
14102100;2011.2;1411180;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;1.7;Reprovado;308160380;2011.2
14102100;2011.2;1411174;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;5.6;Aprovado;308160380;2011.2
14102100;2011.2;1411172;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;0;Reprovado por Falta;308160497;2011.2
14102100;2011.2;1411179;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;0;Reprovado por Falta;308160497;2011.2
14102100;2011.2;1307150;UNID. ACAD. DE LETRAS;8.9;Aprovado;308160497;2011.2
14102100;2011.2;1114107;UNID. ACAD. DE ESTATÍSTICA;0;Reprovado por Falta;308160497;2011.2
14102100;2011.2;1305020;UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA;7.3;Aprovado;308160497;2011.2
14102100;2011.2;1411195;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;5.1;Aprovado;308160464;2011.2
14102100;2011.2;1411177;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;8.3;Aprovado;308160464;2011.2
14102100;2011.2;1114114;UNID. ACAD. DE ESTATÍSTICA;7.2;Aprovado;308160464;2011.2
14102100;2011.2;1411190;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;7;Aprovado;308160464;2011.2
14102100;2011.2;1411193;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;5.9;Aprovado;308160464;2011.2
14102100;2011.2;1109103;UNID. ACAD. DE MATEMÁTICA;0;Reprovado;308161295;2011.2
14102100;2011.2;1109035;UNID. ACAD. DE MATEMÁTICA;4.5;Reprovado;308161295;2011.2
14102100;2011.2;1307150;UNID. ACAD. DE LETRAS;7.5;Aprovado;308161295;2011.2
14102100;2011.2;1411181;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;4.6;Reprovado;308161295;2011.2
14102100;2011.2;1411168;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;7.2;Aprovado;308161295;2011.2
14102100;2011.2;1411189;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;0;Reprovado por Falta;308160296;2011.2
14102100;2011.2;1411184;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;5;Aprovado;308160296;2011.2
14102100;2011.2;1411268;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;8.3;Aprovado;308160296;2011.2
14102100;2011.2;1411191;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;5;Aprovado;308160296;2011.2
14102100;2011.2;1305020;UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA;8.3;Aprovado;308160296;2011.2
14102100;2011.2;1301014;UNID. ACAD. DE ADMINISTRAÇÃO E CONTABILIDADE;9;Aprovado;308160296;2011.2
14102100;2011.2;1411186;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;7.8;Aprovado;308160296;2011.2
14102100;2011.2;1305218;UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA;7.5;Aprovado;308160251;2011.2
14102100;2011.2;1411195;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;5.4;Aprovado;308160251;2011.2
14102100;2011.2;1411183;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;8.2;Aprovado;308160251;2011.2
14102100;2011.2;1411187;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;7.5;Aprovado;308160251;2011.2
14102100;2011.2;1305219;UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA;9.7;Aprovado;308160251;2011.2
14102100;2011.2;1411190;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;7;Aprovado;308160251;2011.2
14102100;2011.2;1411184;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;7;Aprovado;308160395;2011.2
14102100;2011.2;1305020;UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA;7.8;Aprovado;308160395;2011.2
14102100;2011.2;1114114;UNID. ACAD. DE ESTATÍSTICA;0;Reprovado por Falta;308160395;2011.2
14102100;2011.2;1411191;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;7;Aprovado;308160395;2011.2
14102100;2011.2;1411281;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;8.7;Aprovado;308160395;2011.2
14102100;2011.2;1411238;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;9;Aprovado;308160395;2011.2
14102100;2011.2;1411283;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;7;Aprovado;308160395;2011.2
14102100;2011.2;1411183;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;9.1;Aprovado;308160395;2011.2
14102100;2011.2;1305219;UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA;9.7;Aprovado;308160395;2011.2
14102100;2011.2;1109049;UNID. ACAD. DE MATEMÁTICA;0.3;Reprovado;308161373;2011.2
14102100;2011.2;1411180;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;2.1;Reprovado;308161373;2011.2
14102100;2011.2;1307151;UNID. ACAD. DE LETRAS;8.8;Aprovado;308161373;2011.2
14102100;2011.2;1411174;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;5.5;Aprovado;308161373;2011.2
14102100;2011.2;1109103;UNID. ACAD. DE MATEMÁTICA;5;Aprovado;308161373;2011.2
14102100;2011.2;1411167;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;2.1;Reprovado;308161373;2011.2
14102100;2011.2;1411180;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;7;Aprovado;308161463;2011.2
14102100;2011.2;1109035;UNID. ACAD. DE MATEMÁTICA;0.9;Reprovado;308161463;2011.2
14102100;2011.2;1411167;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;6.9;Aprovado;308161463;2011.2
14102100;2011.2;1109103;UNID. ACAD. DE MATEMÁTICA;0.5;Reprovado;308161463;2011.2
14102100;2011.2;1307151;UNID. ACAD. DE LETRAS;8.2;Aprovado;308161463;2011.2
14102100;2011.2;1411174;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;5.5;Aprovado;308161463;2011.2
14102100;2011.2;1109035;UNID. ACAD. DE MATEMÁTICA;2.6;Reprovado;308161427;2011.2
14102100;2011.2;1411167;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;6.5;Aprovado;308161427;2011.2
14102100;2011.2;1307151;UNID. ACAD. DE LETRAS;8;Aprovado;308161427;2011.2
14102100;2011.2;1411180;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;6.5;Aprovado;308161427;2011.2
14102100;2011.2;1109103;UNID. ACAD. DE MATEMÁTICA;1;Reprovado;308161427;2011.2
14102100;2011.2;1411174;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;8.5;Aprovado;308161427;2011.2
14102100;2011.2;1307151;UNID. ACAD. DE LETRAS;7.8;Aprovado;308161355;2011.2
14102100;2011.2;1411180;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;7.3;Aprovado;308161355;2011.2
14102100;2011.2;1411167;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;8.2;Aprovado;308161355;2011.2
14102100;2011.2;1411174;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;8.2;Aprovado;308161355;2011.2
14102100;2011.2;1109103;UNID. ACAD. DE MATEMÁTICA;1;Reprovado;308161355;2011.2
14102100;2011.2;1109035;UNID. ACAD. DE MATEMÁTICA;5.9;Aprovado;308161355;2011.2
14102100;2011.2;1411174;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;7.9;Aprovado;308280152;2011.2
14102100;2011.2;1411180;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;7.5;Aprovado;308280152;2011.2
14102100;2011.2;1109103;UNID. ACAD. DE MATEMÁTICA;1.2;Reprovado;308280152;2011.2
14102100;2011.2;1307151;UNID. ACAD. DE LETRAS;8.2;Aprovado;308280152;2011.2
14102100;2011.2;1109035;UNID. ACAD. DE MATEMÁTICA;7.6;Aprovado;308280152;2011.2
14102100;2011.2;1411167;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;7.3;Aprovado;308280152;2011.2
14102100;2011.2;1109103;UNID. ACAD. DE MATEMÁTICA;0.5;Reprovado;308162105;2011.2
14102100;2011.2;1109035;UNID. ACAD. DE MATEMÁTICA;2.7;Reprovado;308162105;2011.2
14102100;2011.2;1307151;UNID. ACAD. DE LETRAS;8.2;Aprovado;308162105;2011.2
14102100;2011.2;1411167;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;6.7;Aprovado;308162105;2011.2
14102100;2011.2;1411180;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;6.8;Aprovado;308162105;2011.2
14102100;2011.2;1411174;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;7.4;Aprovado;308162105;2011.2
